wdpaid,name,status_yr,patype
34843,Cachoeira Seca,2004,IT
34845,Menkragnotí,1994,IT
34846,Praia do Mangue,NA,IT
34847,Praia do Índio,NA,IT
34849,Rio Paru D'Este,1998,IT
41089,Rio Madeira B,1996,SU
67692,Projeto Dinâmica Biológica de Fragmentos Florestais,1985,SP
101761,Rio Iratapuru,1997,SU
115417,Campinas/Katukina,1999,IT
115418,Tenharim do Igarapé Preto,2005,IT
115511,Acimã,1999,IT
115512,Alto Sepatini,1999,IT
115513,Apurinã do Igarapé São João,2004,IT
115514,Apurinã Igarapé Tauamirim,1996,IT
115515,Apurinã Km 124 BR-317,1999,IT
115516,Banawá,2004,IT
115517,Barreira da Missão,1991,IT
115518,Boa Vista - AM,2002,IT
115519,Cacau do Tarauaca,1997,IT
115520,Caititu,1988,IT
115524,Catipari/Mamoria,2000,IT
115526,Cunhã-Sapucaia,2003,IT
115527,Cuia,1997,IT
115530,Guajahã,2000,IT
115532,Igarapé Capana,2004,IT
115533,Ilha do Camaleão,1997,IT
115535,Jarawara/Jamamadi/Kanamati,2002,IT
115536,Juma,2004,IT
115539,Kanamari do Rio Juruá,2002,IT
115543,Paumari do Lago Manissuã,2004,IT
115545,Maraã Urubaxi,2000,IT
115566,Parana do Boa Boa,2002,IT
115568,Paumari do Lago Paricá,1999,IT
115569,Paumari do Rio Ituxi,1999,IT
115570,Paumari do Cuniua,1999,IT
115571,Peneri/Tacaquiri,2000,IT
115574,Rio Manicoré,2001,IT
115577,São Pedro do Sepatini,1999,IT
115579,Sepoti,2004,IT
115584,Tumiã,1999,IT
115772,Rio Ronuro,1998,SP
115777,Rio Madeirinha,1999,SP
115783,Massaco,1999,IT
115891,Extremo Norte do Estado do Tocantins,1992,SU
116088,Frexal,1992,SU
198281,Viruá,1998,SP
198350,Humaitá,1998,SU
198351,Serra da Mocidade,1998,SP
198359,Altamira,1998,SU
198360,Carajás,1998,SU
198361,Itacaiunas,1998,SU
198362,Itaituba I,1998,SU
198363,Itaituba II,1998,SU
351711,Terra do Meio,2005,SP
351712,Serra do Pardo,2005,SP
351713,Riozinho da Liberdade,2005,SU
351714,Anauá,2005,SU
351747,Rio do Cautário,2001,SU
351748,Serra da Cutia,2001,SP
351749,Barreiro das Antas,2001,SU
351750,Seringal Nova Esperança,1999,SP
351752,São Francisco,2001,SU
351755,Santa Rosa do Purus,2001,SU
351756,Cazumbá-Iracema,2002,SU
351759,Alto Tarauacá,2000,SU
351761,Lago do Cuniã,1999,SU
351762,Cuniã,2001,SP
351763,Jatuarana,2002,SU
351767,Lago do Capanã Grande,2004,SU
351769,Médio Juruá,1997,SU
351772,Baixo Juruá,2001,SU
351773,Rio Jutaí,2002,SU
351776,Tapajós-Arapiuns,1998,SU
351777,Auati-Paraná,2001,SU
351779,Mulata,2001,SU
351783,Soure,2001,SU
351784,Montanhas do Tumucumaque,2002,SP
351785,Riozinho do Anfrísio,2004,SU
351786,Verde para Sempre,2004,SU
351792,Jacundá,2004,SU
351795,Nascentes da Serra do Cachimbo,2005,SP
351800,Mapuá,2005,SU
351801,Itatupã-Baquiá,2005,SU
351802,Ipaú-Anilzinho,2005,SU
351805,Arióca Pruanã,2005,SU
351814,Jamanxim,2006,SU
351815,Crepori,2006,SU
351816,Trairão,2006,SU
351817,Amana,2006,SU
351818,Jamanxim,2006,SP
351819,Rio Novo,2006,SP
